href	infobox
Anne_Warfield_Rawls	True
Anneliese_Maier	True
Annemarie_Schimmel	True
Annette_Baier	True
Annette_Kolb	True
Anniceris	True
Annie_Abram	True
Annie_Besant	True
Anselm_Min	True
Anselm_Strauss	True
Anselm_of_Canterbury	True
Anselm_of_Laon	True
Antanas_Mockus	True
Antero_de_Quental	True
Anthony_Ashley-Cooper,_3rd_Earl_of_Shaftesbury	True
Anthony_D._Smith	True
Anthony_Downs	True
Anthony_Giddens	True
Anthony_Kenny	True
Anthony_Ludovici	True
Anthony_O'Hear	True
Anthony_Peake	True
Anthony_Weston	True
Anthony_de_Jasay	True
Anthony_the_Great	True
Anthropology	True
Anti-psychiatry	True
Antiochus_of_Ascalon	True
Antipater_of_Tarsus	True
Antipope_Alexander_V	True
Antisthenes	True
Antoine-Augustin_Parmentier	True
Antoine_Arnauld	True
Antoine_Augustin_Cournot	True
Antoine_Berman	True
Antoine_Blanc_de_Saint-Bonnet	True
Antoine_Destutt_de_Tracy	True
Antoine_Lavoisier	True
Antoine_Meillet	True
Anton_Chekhov	True
Anton_Dohrn	True
Anton_Friedrich_Justus_Thibaut	True
Anton_Friedrich_Koch	True
Anton_Hilckman	True
Anton_Marty	True
Anton_Wilhelm_Amo	True
Antonia_Darder	True
Antonie_Pannekoek	True
Antonin_Artaud	True
Antonin_Scalia	True
Antonin_Sertillanges	True
Antonio_Aparisi_Guijarro	True
Antonio_Bermejo	True
Antonio_Damasio	True
Antonio_Gramsci	True
Antonio_Labriola	True
Antonio_Machado	True
Antonio_Negri	True
Antonio_Rosmini	True
Antonio_de_Capmany_y_Montpalau	True
Antonius_Andreas	True
Antony_Flew	True
António_Vieira	True
António_de_Oliveira_Salazar	True
Anvari	True
Anwar_Sadat	True
Anwar_Shah_Kashmiri	True
Anwar_al-Awlaki	True
Anzar_Shah_Kashmiri	True
Anísio_Teixeira	True
Apollodorus_the_Epicurean	True
Apollonius_Molon	True
Apollonius_of_Chalcedon	True
Apollonius_of_Perga	True
Apollonius_of_Perge	True
Apollonius_of_Rhodes	True
Apollophanes	True
Apuleius	True
Arcesilaus	True
Archelaus_(philosopher)	True
Archibald_Hill	True
Archibald_Pitcairne	True
Archimedes	True
Archytas	True
Arda_Denkel	True
Arete_of_Cyrene	True
Argentine_Constitution_of_1853	True
Aristides	True
Aristippus	True
Aristippus_the_Younger	True
Aristobulus_of_Alexandria	True
Aristophanes	True
Aristotelianism	True
Aristotle	True
Aristotle_of_Mytilene	True
Arius	True
Armando_Carlini	True
Armenian_literature	True
Armin_Nassehi	True
Arnaldo_Momigliano	True
Arnaud_Desjardins	True
Arnaud_Desplechin	True
Arnobius	True
Arnold_Aletrino	True
Arnold_Bennett	True
Arnold_Davidson	True
Arnold_Gehlen	True
Arnold_Gesell	True
Arnold_Geulincx	True
Arnold_J._Toynbee	True
Arnold_Kaufman	True
Arnold_Schoenberg	True
Arnold_Sommerfeld	True
Arnold_Toynbee_(historian,_born_1852)	True
Arnold_of_Brescia	True
Aron_Gurwitsch	True
Arrian	True
Arsyad_Thawil_al-Bantani	True
Arthur_Brisbane	True
Arthur_Cecil_Pigou	True
Arthur_Conan_Doyle	True
Arthur_Danto	True
Arthur_Drews	True
Arthur_F._Burns	True
Arthur_Fine	True
Arthur_Helps	True
Arthur_Kroker	True
Arthur_Kronfeld	True
Arthur_Laffer	True
Arthur_Lyttelton	True
Arthur_M._Schlesinger_Jr.	True
Arthur_McGill	True
Arthur_Peacocke	True
Arthur_Prior	True
Arthur_R._M._Lower	True
Arthur_Schopenhauer	True
Arthur_Trebitsch	True
Arthur_Winnington-Ingram	True
Arthur_de_Gobineau	True
Arturo_Reghini	True
Arundhati_Roy	True
Aryeh_Dvoretzky	True
Aryeh_Motzkin	True
Asa_Kasher	True
Asad_Mayhani	True
Asclepiades_of_Phlius	True
Asclepius_of_Tralles	True
Asfa-Wossen_Asserate	True
Asghar_Hussain_Deobandi	True
Ash'ari	True
Ashley_Dawson	True
Ashraf_Ali_Thanwi	True
Ashton_Nichols	True
Asit_Kumar_Haldar	True
Ata_ibn_Abi_Rabah	True
Athanasius_of_Alexandria	True
Athar_Ali_Bengali	True
Athir_al-Din_al-Abhari	True
Attalus_(Stoic)	True
Attar_of_Nishapur	True
Atticus_(philosopher)	True
Auberon_Herbert	True
Audre_Lorde	True
August_Bebel	True
August_Böckh	True
August_Cieszkowski	True
August_Homburger	True
August_Leskien	True
August_Ludwig_Hülsen	True
August_Schleicher	True
August_Strindberg	True
August_Tholuck	True
August_Weismann	True
August_Wilhelm_Schlegel	True
August_von_Bethmann-Hollweg	True
Auguste_Comte	True
Auguste_Forel	True
Augustin-Jean_Fresnel	True
Augustin-Louis_Cauchy	True
Augustin_Cournot	True
Augustin_Pyramus_de_Candolle	True
Augustin_Thierry	True
Augustine_of_Hippo	True
Augusto_Boal	True
Augusto_Del_Noce	True
Augusto_Pinochet	True
Augusto_Ponzio	True
Augusto_dos_Anjos	True
Augustus_Addison_Gould	True
Augustus_De_Morgan	True
Augustyn_Wróblewski	True
Aulus_Gellius	True
Aulus_Licinius_Archias	True
Aurelio_Saffi	True
Aurélien_Sauvageot	True
Austin_Dacey	True
Autonomous_Administration_of_North_and_East_Syria	True
Avempace	True
Averroes	True
Averroism	True
Avery_Dulles	True
Avicenna	True
Avicennism	True
Avishai_Margalit	True
Avital_Ronell	True
Axel_Honneth	True
Axel_Leijonhufvud	True
Ayman_al-Zawahiri	True
Ayn_Rand	True
Ayn_al-Quzat_Hamadani	True
Ayyub_al-Sikhtiyani	True
Azam_Taleghani	True
